SMILES	prop_1	prop_2	prop_3	prop_4
CC(=NN)N1CC1	1.1205	0.36672	-2.379819928	6.0081
NN1C=CCC1=O	4.6177	0.35704	-2.109228044	5.4297
OC(=O)C(=O)C=C	1.0933	0.3106	-1.917474124	3.1556
Nc1nc(F)co1	3.3212	0.36979	-1.686293337	6.2206
CN(C)C(C)=NO	1.4372	0.37153	-2.493961106	6.1374
NC(CF)C1CN1	2.8968	0.41999	-2.367179575	7.1291
CNC(CF)C#C	2.0767	0.42043	-2.316584129	6.599
COCC#CC#N	5.8151	0.38496	-2.031015266	5.1067
CC(F)=C(C)C=C	1.7412	0.34632	-2.569193845	5.7077
FC(=C)CC=O	1.9653	0.36617	-1.795940106	4.2813
CC=C1COC=C1	0.5918	0.32506	-2.497941101	5.0167
OCC(F)C1CN1	1.7401	0.42558	-2.254402706	7.5426
NC1(CC1)C2CN2	0.8607	0.4381	-2.585531635	7.2067
NC(=O)C(F)(F)F	4.0009	0.40048	-1.436799856	5.6383
CC1N=CNC1=C	2.4139	0.34852	-2.429388055	5.3594
Oc1cnoc1F	3.0566	0.37715	-1.511398762	6.2399
NC(=O)C(=O)CO	3.184	0.32381	-1.953890093	3.6265
CC1(N)CC1N	2.438	0.38992	-2.363332809	6.4218
CNC1C(C)C1O	2.1397	0.3997	-2.70536471	6.4072
FC1(COC1)C=O	2.0485	0.36846	-1.931375298	4.2885
CC1OCC(F)=C1	0.9079	0.40727	-2.261633168	6.7213
C=C1N=CNC1=O	2.5303	0.31577	-1.933613769	4.0358
FC(=C)C(F)(F)F	2.1111	0.42211	-1.44362081	7.6405
ON=CNCC=O	1.5662	0.31955	-1.976306024	4.5769
CC(F)C(C)F	2.5204	0.51016	-2.102529306	9.2235
COc1c[nH]cn1	2.7133	0.367	-2.131199738	5.9579
N#Cc1ccno1	3.9881	0.36189	-1.657841322	5.9215
CCOCC	1.0715	0.4536	-2.213194207	7.6559
C=C1CC2CC2C1	0.6171	0.40451	-2.80293863	6.8954
O=CC1=COCO1	3.8056	0.30884	-1.875476381	4.0582
Oc1cocn1	2.7215	0.37273	-1.549098494	5.9938
FCC(CF)C=O	0.7009	0.37898	-2.032428135	4.2707
FC1=CC2OC2C1	1.9139	0.39844	-2.028370746	6.5504
CCCC(C)(F)F	2.156	0.51236	-2.586787969	9.6147
NCCOC(N)=N	4.7414	0.40155	-2.357165226	7.124
NC(=N)CC#N	2.7252	0.40464	-1.774798274	6.5205
NC(=O)C#CC=C	3.9829	0.3375	-2.071566458	4.6945
OC1COCC1F	1.7455	0.43525	-2.175915563	7.7925
FC1C=CCC1=C	2.1764	0.39858	-2.353553627	6.4661
FCC(=N)NC=O	4.554	0.3801	-1.901810993	4.9708
NCC(O)C=C	3.0992	0.41598	-2.256986509	6.7793
CC=C(C)C(O)=O	2.3885	0.36765	-2.454701717	5.281
CC(C)(C)C=CF	1.7971	0.4214	-2.788984291	7.4911
CCCCC(F)F	2.3943	0.51305	-2.577970388	9.5355
CN1CC1C=C	1.2253	0.3956	-2.313532938	6.3531
FC1CC1NC=N	4.3891	0.40672	-2.158773112	6.4118
CCC#CC(N)=O	4.2263	0.37563	-2.304620186	5.1057
COCC(C)CN	1.1375	0.42799	-2.940968625	6.734
CC(C)(O)C(N)=N	3.1	0.40355	-2.563168535	6.3569
CC1COCC1N	2.4836	0.42476	-2.742810947	6.7677
OC1CC2CC2C1	1.4135	0.4557	-2.718299623	7.4784
FC(F)C(F)(F)F	1.4998	0.57127	-1.22528792	10.5613
FC1C2CCC1N2	3.1441	0.4321	-2.353187492	7.1371
NC1C(O)C1O	0.4627	0.4077	-1.93027744	6.7004
CCOC(=C)CO	2.5366	0.40972	-2.613524509	7.0839
OCC#CC=O	4.0546	0.36212	-1.675687375	3.9976
Cc1cnccn1	0.6069	0.34033	-2.238534567	4.1366
Nc1cocn1	1.6909	0.35371	-1.665329271	5.6203
CCn1nccn1	0.6518	0.39442	-2.227228429	6.5174
COC(C)=O	1.9306	0.43655	-1.727916826	6.0103
CC#CC(=O)C#N	5.3513	0.34068	-1.835181957	3.8754
CCC(F)C=NO	1.8811	0.40319	-2.245635482	6.0055
CC(=C)NC(C)=O	2.9431	0.3651	-2.554763484	5.5171
FC(F)C(F)C=O	1.3257	0.37749	-1.583339056	4.2514
NC(=N)C(F)C#C	2.5827	0.38503	-1.92124804	6.1138
CC#CC=C(F)F	1.4661	0.36111	-1.865139528	5.8705
CC(=C)CN1CC1	0.8501	0.40572	-2.787101135	6.7539
O=CC(=O)C1CO1	1.753	0.29717	-1.859713831	2.7386
C1CC2N=CNC12	2.9319	0.38088	-2.415010516	6.1907
OCC=CCF	2.0339	0.42034	-1.999560927	7.4121
CCOCC=CF	2.6392	0.42258	-2.459972612	7.4797
